date_received,product,subproduct,issue,subissue,consumer_complaint_narrative,company_public_response,company_name,state,zip_code,tags,consumer_consent_provided,submitted_via,date_sent_to_company,company_response_to_consumer,timely_response,consumer_disputed,complaint_id
10/16/2020,"Credit reporting, credit repair services, or other personal consumer reports",Credit repair services,Fraud or scam,,,,ERC,,,,,Phone,10/19/2020,Closed with explanation,TRUE,,3903929
10/24/2014,Credit reporting,,Incorrect information on credit report,Account terms,,,ERC,LA,70816,"Older American, Servicemember",,Web,10/29/2014,Closed with non-monetary relief,TRUE,FALSE,1085252
3/14/2015,Credit reporting,,Incorrect information on credit report,Account terms,,,ERC,AL,35242,,,Web,3/20/2015,Closed with non-monetary relief,TRUE,FALSE,1283279
7/13/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"During my time as an employee for XXXX, I was encouraged to open a Dealer or Concession line as my business contact number. I successfully opened an account and paid monthly according to my contract. Unfortunately that phone was stolen/lost by a fellow employee and I had documentation from XXXX to verify, it was ultimately reported as lost to the company and my superiors in a timely manner. I was told by my manager to open another line, as I would n't be eligible for employee discounts if I fully cancelled my original account for 3 to 6 months. I was instructed to use my social security number to open another type of employee discount account and did so without issue. I used this new account until I parted ways with the company. I was informed that all employee accounts would be terminated upon my leaving and that all devices had to be returned. I left my phone at my store location with my manager and called into employee care to verify the information he had given me, which they did. 

Nearly a year later I requested a credit check and saw that I had been sent to collections over a debt with XXXX. When I called in to see where the debt had originated I was bounced back and forth between XXXX and XXXX as neither said they could help me ; XXXX XXXX because I was a consumer, and XXXX because I had been an employee for the duration of my account. 

My current position allowed me to open an employee line with XXXX although they are NOT my employer, and I used this opportunity to begin a dialogue with someone who could possibly work on clearing up this debt from within the company. After weeks of telephone and email correspondence with the gentleman, I was offered the ability to pay off the debt and then be immediately reimbursed the money if I opened another account with XXXX. I felt immensely pressured to take the offer to save my credit but ultimately decided to pass, as I was n't comfortable being forced into signing another binding contract with the company to erase a debt that should never have occurred. 

Throughout the duration of this, going on two years, I have been called repeatedly by multiple Debt Collection Agencies each time the "" debt '' is sold off to a new company. I 've been called at work, late in the evening, inappropriately early in the mornings, and now XXXX prompting me to submit a complaint XXXX a NEW company has begun calling my family members in other states.",Company believes it acted appropriately as authorized by contract or law,ERC,CO,80916,,Consent provided,Web,7/13/2015,Closed with non-monetary relief,TRUE,FALSE,1465916
9/21/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,KY,41008.0,,Consent not provided,Web,9/21/2018,Closed with explanation,TRUE,,3025580
4/1/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,DC,20032,,Consent not provided,Web,4/6/2015,Closed with non-monetary relief,TRUE,FALSE,1310351
12/14/2019,Debt collection,I do not know,Attempts to collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77087,Servicemember,Consent not provided,Web,12/14/2019,Closed with explanation,TRUE,,3468169
1/3/2023,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,GA,30253.0,Servicemember,Consent not provided,Web,1/3/2023,Closed with explanation,TRUE,,6393457
3/15/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,CA,92078.0,,,Web,3/15/2015,Closed with non-monetary relief,TRUE,FALSE,1283453
4/30/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"I have been monitoring my credit weekly for 2 years now and have discovered that ERC, a third-party debt buyer, has reported a {$59.00} derogatory collection on my credit reports. I was never given any notice of the debt due ... never given a chance to dispute the issue within the 30 day period, which is required by law and a violation of my consumer rights under the FCRA. 
I am writing to obtain validation that the company has a right to collect this money from me. Thus, ERC indicates that XXXX XXXX is the original creditor ; however, I never owed XXXX XXXX any money. When I moved from XXXX, I returned the equipment to the XXXX office and paid the amount that XXXX XXXX said that I owed to close the account and pay the balance in full. This was done in XXXX 2015. Furthermore, around XXXX 2015, I received a 'refund ' from XXXX XXXX of {$44.00}. 
Again, I need validation of this debt from ERC. What was the original amount of the debt? What was the original account number and date of original debt? MORE IMPORTANTLY, please tell me why you believe that you have a right to collect this debt? Please provide verification and "" documentation '' that there is a valid basis for claiming that I am required to pay the debt to this current creditor. For example, can you provide a copy of the written agreement that created my original requirement to pay? Also, a copy of the last billing statement from the original creditor is required.",Company believes it acted appropriately as authorized by contract or law,ERC,CA,92008,,Consent provided,Web,5/5/2016,Closed with non-monetary relief,TRUE,TRUE,1903865
11/15/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,FL,33614,Older American,,Web,11/18/2014,Closed with non-monetary relief,TRUE,TRUE,1118356
3/9/2019,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"I previously had phone service with XXXX XXXX. My bill was set up on auto-pay and was taken directly from my account each month. I switched phone carriers, which resulted in a final bill, which was paid automatically on XX/XX/XXXX. I have attached documentation to reflect this information ( my XXXX account was under a previous last name of mine ). 

For some reason, XXXX has repeatedly placed the amount for this final bill ( {$1000.00} ) with multiple third party collection agencies/attorney firms. I have disputed this several times and have even received confirmation that the dispute was closed in my favor. I requested a full validation of debt from the last agency that contacted me in regards to this. I received that validation of debt documentation on XX/XX/XXXX. This documentation clearly shows my final bill and the corresponding payment, reflecting a XXXX balance owed. Not only is this causing unnecessary stress, it is now negatively impacting me. I was recently denied credit because this is reflecting on my credit report and I also had to accept a car loan with a much higher interest rate than I feel I would have qualified for. I responsibly pay all of my bills through auto-pay because I care very much about my credit rating. I am very upset that this is impacting me so negatively and I was actually really embarrassed during the car buying process when this came up. I do not know what I need to do to get it resolved.",Company believes it acted appropriately as authorized by contract or law,ERC,KY,41091.0,,Consent provided,Web,3/14/2019,Closed with explanation,TRUE,,3174523
6/13/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77063,,Consent not provided,Web,6/13/2016,Closed with non-monetary relief,TRUE,FALSE,1966476
5/12/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"Several debt collectors have called me on behalf of XXXX XXXX. The one that contacted me today was ERC. I already settled my debt with XXXX XXXX through XXXX on XX/XX/XXXX i the amount of {$180.00} which is 50 % of the total amount owed. I spoke to XXXX XXXX when I made the payment. The phone number she provided on XX/XX/XXXX was XXXX. She also provided a Ref # that I will provide upon request. XXXX who is also with XXXX, provided XXXX. When I called that number a gentleman answered and said that he would transfer me to the "" correct department '' I asked, "" What is the correct department? '' He repeated, "" I will transfer your call to the correct department. '' I held for approximately XXXX XXXX and then he disconnected the call. Then, I placed a call to XXXX XXXX to ask for a list of their legitimate authorized debt collectors, so I know which ones to report to the FTC. My call was answered by XXXX who stated that her records show that I still owe {$180.00}. I insisted that I do not owe that amount, and I settled for {$180.00} on XX/XX/XXXX. XXXX confirmed that a payment in the amount if {$180.00} was made, but that I still owe {$180.00}. After an unresolved debate, XXXX transferred my call to another representative who could not find an account to match my phone number. He answered the call in XXXX, but I assured him that I am not fluent enough in XXXX for him to take my call. He also attempted to give me instructions to dial in again, and put in a series of "" ten zeroes '' as opposed to my actual phone numbers. I stated that I am not willing to continue to follow their instructions, because I have not received a resolution for my request, nor were the seeking to honor my request, but to collect money that is no longer due to them. I informed the representative from XXXX XXXX that I would seek legal action against XXXX XXXX and all of those collecting on their behalf if I receive another phone call, because it is now harrassment.",,ERC,GA,30506.0,,Consent provided,Web,5/12/2021,Closed with explanation,TRUE,,4372086
6/25/2021,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,,ERC,TX,75227.0,,Consent not provided,Web,6/25/2021,Closed with explanation,TRUE,,4492700
11/16/2016,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,NY,11501,,Consent not provided,Web,11/16/2016,Closed with non-monetary relief,TRUE,FALSE,2209927
7/9/2020,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,"On XX/XX/2020 I settled and paid a debt with Enhance recovery collection agency then requested that the account be removed from my credit report because Im trying to buy a house. My score dropped down 35 points because of this and Im still trying to recover from this point drop. I was told that they do not remove anything and that a manager would call me back. 

I was passed around from one agent to another and none we able to help me. As of today, I have yet to receive a call from a manager and the collection remains on my report and has a huge NEGATIVE red for the month of XXXX when this was legally paid in XXXX.",,ERC,CA,92139.0,,Consent provided,Web,7/21/2020,Closed with explanation,TRUE,,3737269
3/17/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,IL,60014,,,Web,3/17/2015,Closed with non-monetary relief,TRUE,TRUE,1287040
2/28/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,MD,20744,,Consent not provided,Web,2/28/2017,Closed with non-monetary relief,TRUE,TRUE,2364425
6/24/2014,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,,ERC,CA,90731.0,,,Web,6/24/2014,Closed with non-monetary relief,TRUE,FALSE,909213
7/24/2015,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,It is showing on my credit report that i owe money on XXXX when i already paid everything. Infact I still have an open account on XXXX for my internet swervice and home phone service. I have ask XXXX why is this Debt showing from this company and they have told me they dont know why or how. They said they have contacted the Debt collector and told them that i dont owe any balance from them and they still didnt take it out of my credit report. I have called the Agency to show me proof of this Debt and they refuse to send me any document. This is affecting my credit big time since im trying to build my credit and purchase a house.,Company believes it acted appropriately as authorized by contract or law,ERC,CA,94560,,Consent provided,Web,7/24/2015,Closed with non-monetary relief,TRUE,TRUE,1484909
11/10/2018,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,CA,94709.0,,Consent not provided,Web,11/10/2018,Closed with explanation,TRUE,,3071082
5/20/2019,Debt collection,Other debt,Attempts to collect debt not owed,Debt was paid,Set up an payment agreement to pay and remove off of my credit report. Opened in XX/XX/XXXX closed beginning of XX/XX/XXXX.,Company believes it acted appropriately as authorized by contract or law,ERC,KY,41018.0,,Consent provided,Web,5/20/2019,Closed with explanation,TRUE,,3248051
2/27/2017,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,,Company believes it acted appropriately as authorized by contract or law,ERC,TX,77535,,,Phone,3/2/2017,Closed with non-monetary relief,TRUE,FALSE,2362335
